100
30
-55025/11613 -216813/65392 38491/5809 -602176/94177 82414/34063 187237/25796 -379333/72144 582662/82409 227298/78209 -528967/64421 -40073/39423 72010/18467 -705165/78791 210012/75577 25256/9901 68361/30871 69503/92081 631/962 180694/60455 -431185/44016 -470963/81991 -69696/89215 272001/45868 -478006/63997 -100225/25929 -230450/25249 -10058/6185 6492/2509 -23735/3777 -86859/11396 -8914/45525 -478561/48969 -79058/23501 311179/43101 -510964/71083 -367477/97137 -118603/44566 10957/1790 46583/8146 323413/90634 25436/98323 -255625/92692 118885/49671 109769/86090 28837/3804 380165/78294 -113811/32257 -59950/19687 -117239/15012 24782/13117 -47113/8467 61817/27523 18285/2618 -207655/72581 -32933/10979 -53791/78918 452639/49820 -27889/15168 -154972/19141 -112669/32099 -390197/79849 -33697/25964 286299/65053 -150888/88685 102417/98519 -8028/53587 552583/97520 1878/27217 60121/7569 -52851/12242 81941/26156 -138605/30687 59606/6841 -17950/24233 834488/83515 -90810/9109 168853/19795 191053/27200 68661/10597 298/3811 -11166/37925 -654570/83261 -88583/56486 56617/40944 -28795/5363 -18906/57013 22084/3021 -69202/12811 26230/58697 -51785/20543 13471/4685 152083/86894 120447/14629 -903715/98606 69143/8869 -695/1013 -261381/38624 -623757/86473 276099/28111 332349/58432
243579/29341 -451001/90163 -34909/8539 96493/13110 -430092/59879 365047/54523 -27205/2908 890224/93439 -530787/60359 -349221/61280 -2825/623 29803/9787 -55703/63975 191541/20570 75343/9925 210841/63806 -371432/77675 -679069/93946 179258/88189 132668/79199 -24446/3395 -157778/21677 101353/44579 357379/42850 20323/6698 -308189/57643 24916/17781 -548329/75658 9467/55159 -4855/24842
193597/55220 173845/25638 141211/74740 355074/37397 -6067/851 652517/70771 -7005/769 110041/68771 -71441/99397 1091/1122 -333641/89284 89693/14016 88697/60360 -11189/1872 -206809/25604 -379837/55955 349752/52177 -283111/59187 10649/7711 7337/4827 196190/94517 -296809/72023 443410/93589 3071/4562 -472315/99683 -337315/46441 -126213/89335 -113432/23489 -29644/14583 -134829/17054 356632/53741 995/149 3277/1109 6837/1256 -9874/1631 280954/82955 79612/31815 9811/5025 5906/1001 -131627/28854 160183/49252 -23993/8550 -14395/4248 -52293/15434 -19339/5822 -17751/19790 176179/26546 -96949/27367 420826/45697 -124174/62847 -204641/42200 -628430/91873 -398431/52917 510423/67079 456826/57727 -413003/86297 -222019/28023 -416018/46329 433941/51848 -30700/6319 -119941/83309 -160507/66335 -233323/33016 24399/2821 -787959/83203 29595/39401 87217/15269 10357/2101 -227689/67615 543578/57231 -63339/18481 -45476/97791 -104998/18177 -284721/34840 22684/3477 174133/56938 285574/73701 -2239/10866 16949/2513 328/4451 108479/11881 81939/23794 -289855/31261 -170401/34418 187803/19408 -410890/53293 -299513/82873 297625/49968 -9163/13801 127067/32182 726211/76594 129784/32569 1126/19025 484501/52306 -404219/46551 113618/52329 174131/47780 627524/82753 -690177/98351 -253229/93162 <
100177/11227 -263339/94772 -59201/17515 -31741/8914 -217861/33588 222937/39833 -436273/95212 -28880/7501 397402/69935 147734/32227 62636/7383 57189/9817 237761/27770 21631/9014 38287/86014 -701383/93916 -234586/44007 108643/17317 63077/12962 -226397/65439 -129404/20503 -5179/4680 170414/61819 437299/86192 -120957/30982 -892110/99877 -229549/33596 868199/95054 -440821/61516 435130/72579 -503891/77035 -469331/59665 -97534/25023 96839/15115 -1205/45079 -1519/373 261596/80757 -114632/12067 162002/95373 53751/36224 -243571/75459 231696/40567 45024/16069 10805/3809 -6891/2197 447070/74519 -152969/28175 11573/23307 -718237/77848 -104031/62515 -92632/13119 29423/50575 -60521/13288 16357/1946 -155293/21764 314863/36835 -29/89 -472528/60141 298046/33875 16786/15509 473671/51900 459969/62345 -93771/16822 50872/7741 495968/82525 127245/42829 -363291/54269 -79591/12021 -34363/8698 -122511/89723 -326689/39691 324670/41073 58943/12509 -477091/55719 -38889/5042 -56599/7806 431867/43757 -322599/55634 -21954/2671 255/308 647274/65623 -46188/11651 -447044/81909 136079/24903 192386/23021 118361/99734 -251642/48389 124852/48021 30001/7516 -581555/85294 -69259/16674 176029/71094 -121586/18277 169436/33605 -162737/64066 4561/46457 549110/82223 371/3988 3738/2377 99722/57059 >
-167608/43413 189/62 -201915/85937 55861/6988 -37903/30724 95069/18809 329069/94187 -574598/99985 -71632/86523 -72463/7559 -3591/1766 -414988/80477 47921/16115 -152841/18049 -139051/90612 -24515/6961 -124557/38870 -561487/75325 -543981/79226 -176453/19118 -5454/1031 -36094/8515 16189/3755 141878/80631 92981/14974 -7406/6949 -93562/15249 -132201/22379 -667447/81740 790992/93571 150865/34578 432988/57663 85682/9113 -203517/43238 35669/13806 46294/6425 24459/3932 -150122/28991 159507/72449 158547/88003 -15448/6365 -39573/43162 -594357/87881 -28991/3577 -728225/90858 20027/4783 9093/9271 27919/5161 7166/1665 -518/3455 112819/29511 -10001/2648 -69451/76706 -71375/15711 238031/83828 371/611 45119/6508 -64107/95095 53257/16995 -202/775 22369/4689 -259/55343 -386443/43736 -11591/40824 -34948/3621 493741/80596 51574/51565 -563423/98110 -52310/21937 -4205/533 231441/26836 121067/68432 -487336/93591 -142832/19527 1232/351 -122944/53065 66471/31918 167413/40168 171961/30170 93441/21158 -110135/25516 283060/29567 -430610/70889 31219/43467 377477/63923 58862/6429 26475/52388 20360/8037 -487478/88107 212624/49111 98387/20859 -174579/19142 -230719/68274 34822/3501 -44285/75719 -72959/7423 588472/68675 -433297/49382 126617/54810 -128807/24644 <
-51421/47330 -56829/41911 4303/4977 -131165/39369 -36250/11067 -260140/31149 -6923/5192 392954/92501 -69790/14729 430157/89303 -251601/38702 551959/99932 -315301/86498 405909/49471 -39911/16234 118872/38359 103441/12722 32235/36058 -539931/69278 300459/79337 -307559/34736 -29503/19322 -8831/2364 -510830/58249 327855/77558 15129/13007 599542/60437 225616/73291 257912/26307 46861/6189 -174679/25117 4744/11193 -208029/28729 88957/15404 275456/85133 -239379/71483 -1355/153 -86740/25583 -664427/89561 -154214/38457 -84807/17525 52289/91065 26395/50567 -544/523 34349/16343 32102/5629 -795312/94343 2629/36375 3277/2000 148791/21715 -479715/79427 393983/78415 -257470/67049 -81205/8274 -218355/94202 395824/88721 82975/53179 49087/20911 -405221/46753 45809/6250 62527/70645 -121705/16764 -377863/60723 -323496/33343 104119/84265 49135/25907 -779681/78252 149757/17744 173238/68489 13436/2949 -16602/34579 -16067/16966 -524955/58586 19265/9733 -14890/3163 335182/36727 -68665/41886 161475/23473 -406764/65575 51861/12466 -590833/65803 348596/59477 -230053/26716 -2533/1201 -434381/57542 12552/8425 154889/19636 -570411/65432 -156819/19988 34051/34350 -68364/16057 -88156/17345 43965/5518 27254/15669 -27135/5857 50448/5731 -97281/28775 -12435/1742 470593/75561 -52072/12041 >
487063/96581 2804/823 55674/15527 135543/25166 -143778/29317 100182/46559 -155639/27089 -152006/28361 21739/58952 486617/92708 -125833/33154 36258/13093 -373814/89909 214918/35087 702224/84949 -21807/22565 -48173/5767 -198601/44156 -31095/5674 407409/64469 -302888/33389 387929/56203 155801/92483 319/130 -459467/54887 19863/3448 91449/10238 -492539/82127 -9637/2839 15971/8704 97865/10763 1786/3463 75575/52942 -205277/22261 47971/5944 -114140/43993 -8393/9236 -347473/40574 -685567/69240 190123/28583 77852/8551 -91598/21185 104826/92879 5517/9689 229279/32667 -380465/47852 77661/9247 39704/20379 -278063/31505 510454/72829 -25827/5170 -534823/68034 -375773/39177 446938/78725 -123170/63921 -90293/29766 46495/6271 -8564/19687 -91227/71615 -641198/89557 -151144/65669 22391/6886 -28590/65717 1367/3759 128931/63401 108653/24538 -124675/14577 10641/3760 39969/5555 -53619/16745 -6031/2017 -242305/26192 -466027/83111 117350/71829 -183132/89539 -7253/7709 85241/13255 526973/74246 1427/222 325154/34831 -66521/20576 76953/66764 290463/53254 -579413/64497 -56023/8000 531320/86061 -16814/6929 -320853/60092 69719/57669 -297077/89336 -413303/94764 112373/26655 15657/1912 -306476/52663 -5589/64651 -67574/82775 -7743/1384 -24859/29567 -8631/4916 293999/53997 =
169045/25613 -18722/81407 -385841/43913 26691/7151 -87963/46355 148299/89798 -30435/9091 -593746/68821 -115525/13319 7523/9439 90835/17331 347999/91839 170550/31727 76444/31941 83809/8791 -469673/75030 220754/25837 818901/88672 485/103 352620/57733 123017/15884 -157774/43665 -39991/14425 518692/81775 1349/901 549638/65395 15817/10375 66893/27085 -615077/74947 -323/270 -16933/3630 -140919/21304 91045/10898 148954/26243 120538/16939 -1453/203 24473/3892 -80303/8434 46203/28921 -237064/83449 -76249/9213 -203/21464 2201/374 74488/9957 21881/3875 24962/9027 451522/99835 -129948/13967 -138253/35686 405817/42431 -124577/47120 21985/5933 -18139/6671 -54624/21863 -467143/62197 -246060/29327 249035/54243 -50581/9083 -41499/5521 -101547/55613 7499/8584 -111897/32986 128549/37529 -51803/13951 -193145/23009 -208851/23918 -278053/38127 216443/25066 -277431/35930 -70660/18401 26303/19356 35895/18977 23057/29478 714815/97012 8783/1548 6899/9183 -96117/33454 -47898/6079 73201/17622 -18101/8760 104395/15242 -57009/10817 167899/42464 145189/37780 94729/12105 -21739/15673 30646/4007 32353/3653 239423/65849 785062/80757 -208202/34939 -92656/30871 -9713/4031 -16359/10790 -427119/55919 117149/12070 661/87 3407/4604 -14183/15931 3577/451 =
-24867/3787 -872047/98635 -338020/41609 523397/53290 -117101/21852 -596025/64517 -120903/16240 2081/41630 27442/37545 214213/36874 -587717/88893 142637/21240 334881/90287 2317/22608 -52346/42205 12582/18559 104171/14260 -5299/10867 690005/98731 -683264/86077 -417904/45323 664483/68656 -393323/72622 -1161/1039 -165514/29579 -119597/13875 503957/98069 1575/3557 -39461/43971 556001/64719 -112645/22651 233783/45990 28418/4841 105656/95085 -10535/4243 -161751/21004 38515/5247 133068/81691 -189943/33802 286129/31752 224223/52573 -41969/16885 -72905/10558 44171/6226 -89674/37185 180954/22849 9127/6772 -5428/15911 48985/23606 107341/17341 -143080/44473 -231611/60557 145277/39774 656519/73121 86850/30653 184727/19236 -987550/99207 70093/7788 69607/14054 4049/7547 -90012/18751 -265101/97690 -13165/42441 -5576/10989 -876/2723 -122492/42903 402133/61228 -115152/30049 -3207/5237 -4515/704 213051/34286 -12095/17623 -402049/54019 179835/18389 76333/59175 -400595/89234 284983/40551 9806/7607 -99678/27313 209305/37306 295484/45735 -7163/11404 89617/38204 52523/6788 -207122/77953 84985/19176 111961/48529 -164657/31530 -316364/96139 -14597/4101 91757/14502 -161779/38591 -139779/17920 518573/58753 -9386/18117 -14593/11461 -124142/16469 230111/41918 55330/22327 16168/9057 >
6983/1006 -961091/99074 -48409/29575 -107691/17962 -337322/46681 -44531/7264 290087/38286 -68899/34779 -3216/2203 658251/70181 249195/28469 -299717/76126 -15994/5017 -13627/16867 -134667/60155 218725/33684 -14120/10369 -176939/32034 -276983/43931 -30891/3461 -105040/31067 -376111/38255 -181553/19179 -58307/14482 414449/63652 -369314/86297 9394/1215 -156593/27592 33116/6261 61809/6533 67807/66392 295077/49103 106181/15164 124678/16057 -7725/2821 26012/3333 -481340/54557 -59033/17866 -46665/6104 -17016/39379 166926/33925 -229797/87527 -147851/25079 183953/24267 616381/96132 -275644/77179 191963/45871 -211623/88904 10786/3069 -318159/42464 -50657/5321 62737/11853 -614582/75587 -334200/33443 -21887/24195 -73130/9711 606497/75817 299347/57474 -20800/33659 7407/1903 161432/20097 43747/7021 -232773/26317 -570122/64459 -449449/69000 211667/67224 -4073/6022 -78687/10168 -27397/16323 -93209/41884 132913/28451 -225884/54409 19939/13151 607268/89315 188657/23420 -475/692 19252/5389 27656/30891 18457/49602 40003/9573 14773/1681 -1359/2170 -98371/40935 33749/41381 -231011/26876 30623/8545 -226451/34545 28003/4799 -62919/20581 -18677/9695 -279962/30561 -7987/95167 -466344/51265 79090/15447 170897/75836 93597/27214 105069/11030 280039/53541 226583/54795 -37467/79811 <
-183163/20294 -26773/19425 13038/2615 -34528/35899 4776/2261 -284279/76230 40055/60759 76011/18905 78246/14549 -737428/88185 -204813/24041 42287/7027 399217/71520 199514/24275 -14521/3571 -148993/30499 42640/26647 159203/48047 -25639/9288 -11519/1487 475538/91303 330897/36416 -16666/4129 -70593/85096 30892/12041 -143261/52105 4859/511 -753125/77034 -318120/67889 -176697/30427 -161260/28439 -60317/7906 -47927/45080 -22062/8941 -68339/7047 114451/14930 -545291/76342 -62559/68923 -80790/45143 -176740/18857 -267997/71562 221038/48041 84807/12455 244092/25709 -339326/71333 217483/23706 88673/33444 192532/39623 18256/96773 -323325/65783 -4175/1436 -350897/75462 -85313/9009 -31255/42691 -47139/7685 150359/25912 -12703/3565 -100147/80929 -621062/70775 -349/2919 22/30905 -260411/93991 245881/46819 19474/3945 -101009/96635 2544/395 120305/12383 -110457/76613 118399/39870 60382/10399 109930/35133 -33761/9133 2479/48319 269208/62129 -67021/15374 -63373/29864 145319/37793 191759/20187 17443/7906 53005/39524 -5013/4240 175513/31712 81151/27765 476563/59595 39483/4645 837691/87116 -40075/5239 -20629/11875 437529/70552 -626330/85263 293149/29357 -63721/50502 -18932/12011 -6773/1447 481077/56143 -56179/45514 -137054/25661 -271717/29761 52797/17425 -37796/36699 =
-3669/845 144821/72504 -10474/63055 -9897/6778 70121/33803 -311227/76687 -45309/68815 63384/29345 -40303/13772 -63806/8227 114115/48753 75466/29685 -15457/31675 496545/59341 689496/74239 -208227/51286 15520/3089 24105/9706 -107269/27733 -114725/53772 -319963/53251 -9421/36219 -59194/31649 206676/30931 50696/17025 500473/51183 -722066/93151 -17169/35492 -603341/71024 197513/29405 318751/92979 -50537/9562 137245/62343 -58251/7799 439848/58531 232453/26126 31299/23546 32269/7720 7972/1565 -527605/59146 -81491/13113 -13123/3875 -64981/40854 -8179/3895 143/34148 -276123/89771 -197049/32773 -23233/3209 19967/14112 529821/53852 -117/28 -69463/23464 -100125/14791 423415/70592 -143303/17598 -197287/98190 179565/31298 -31715/8809 -33301/5038 -391489/43516 -78924/23855 -35439/3929 -452017/51518 144829/26703 173666/89577 -22661/4829 47920/6651 -3109/2969 46342/10007 -284171/47584 -522572/99995 -337975/44376 -133317/44419 -5392/1455 -12021/2042 -616975/88796 30941/4062 -12107/16229 147597/63778 208625/93932 -350845/40708 -5919/5491 -539374/68419 36468/15719 -5543/2972 216085/30814 -84273/43270 -346937/72633 257579/49366 -507688/77157 -92990/10699 -213873/47884 -109859/15075 228557/82599 387779/48875 -276323/71657 578983/92073 -11273/98960 49903/5763 -4001/12050 <
