30
20
47541/8950 8404/2325 -7966/2059 46102/6473 -70016/7651 8499/9755 -742/1153 9835/2406 23113/4070 -333/505 47527/6220 -3652/2863 -8753/1714 2875/397 -34343/3672 37075/8904 14515/2137 -11020/4687 73732/7453 -1654/169 -12687/3035 -15106/5353 -14179/4842 16417/2069 -11273/1913 -31543/5330 -2257/651 59526/7795 -2771/1442 -137/4729
1481/2636 -38799/6551 -1066/343 -30926/4983 -514/219 -12175/1218 -68212/7187 -6697/726 -2381/307 -3585/1877 16093/4798 43724/8537 8101/1182 63863/6923 -341/159 14575/4251 39827/6622 -56755/6469 -4018/729 -5973/1046
32319/3964 35781/4999 18003/3322 -83103/9658 -543/119 -66038/8385 2952/383 15707/3673 82183/8257 -2072/5577 6737/908 49777/5533 -12042/1525 -16545/7754 20333/3065 86605/9053 -71711/8797 -45967/7698 -6931/1390 -716/131 -46919/8243 900/4351 1745/401 -31946/4983 72526/7553 -19249/2131 -31021/3338 25673/9501 2040/271 18043/2340 <
6745/943 29/4 -1357/380 -38993/5057 -6297/1022 -8664/1105 -866/217 -31475/4031 -3800/863 -671/155 2871/383 -63601/6764 -13672/2415 59/605 -7509/856 -52817/5321 3092/799 -26989/6738 15671/4090 -4081/8752 -3449/1440 -31773/7802 -20943/7193 7275/2914 -20079/4222 -10339/4404 -47771/4896 -22351/7489 -34539/3619 43493/6438 >
33679/9484 19087/3362 -8048/7563 5871/935 -1591/889 460/553 -16984/6011 -545/2079 8437/851 79933/8931 26079/4466 -9829/2457 -2939/301 8845/9814 2/5 -2878/1023 -2144/277 12394/1497 53/30 -9679/980 3058/1795 50126/9755 21974/3947 5089/1916 11753/1522 341/1908 -2857/7331 -11771/1201 53181/9553 1017/1108 <
-23886/8735 2732/337 -54403/8985 -33038/8201 -20673/2827 50537/9775 42116/5763 -161/270 2452/251 -24131/6754 23124/5417 3581/506 -6232/1893 612/397 -38097/4985 3463/1887 3506/609 30077/6766 -1624/855 104/3475 5187/8608 766/2033 28716/4529 -8313/893 -46623/5614 -3464/825 25519/4689 48361/5106 6089/8632 6869/1083 >
13822/1725 -6977/8923 5848/1371 1061/109 -1531/3203 1187/241 -7273/4835 1691/189 -4921/9209 23098/9097 24683/3789 45748/4671 -76365/7709 -4279/4733 1128/389 -76979/8978 5442/1639 14831/4488 51209/8615 -16633/2250 -20134/4645 -330/101 1585/223 -12803/2349 2045/284 -3489/8800 -57192/6839 -31085/3171 41195/4507 6337/805 >
-2335/5617 305/118 -12685/4842 5795/601 -19726/2323 17631/8948 35029/4241 36485/4826 67853/7146 58593/8060 -22642/4859 5918/1537 -1757/353 10059/3158 41138/6035 79549/8699 3862/1967 -15775/1729 40507/4618 22315/2754 28869/5819 -15046/2677 39224/4343 67849/9340 22057/5582 -32685/3352 24329/3069 8789/1424 -11534/3737 -16841/3251 <
-43033/7501 12868/1315 -3476/405 -19903/2380 -19406/3573 -4215/5377 -24789/9260 -2754/7319 112/25 24279/2930 3030/1217 -12753/1957 -3074/3137 36836/4169 12949/9400 44601/7853 -1497/308 -213/32 34939/3629 -28918/3215 22526/5175 -2401/265 23761/7154 38/5 2896/3087 -34485/7589 -8248/2393 28683/3173 -16864/5671 26667/2716 <
-51526/6091 -1858/563 5458/1665 23258/3877 24193/4780 -67460/7703 15153/2341 10427/9545 7366/1425 53431/7936 -4595/967 -33267/5828 -4658/507 2701/1955 23283/3340 -10571/3812 42935/8256 42307/6766 -52124/6763 33655/7328 -21629/2195 -8486/1653 15038/2421 -10392/6383 12065/4861 13019/1408 1631/314 8963/1407 -52847/6772 -11526/1283 >
6963/1946 16979/2887 -53749/5667 -7934/1457 -14902/4737 59305/6162 2974/1173 -13254/1393 -36181/4796 87949/9358 24707/3234 -40927/7435 -31423/4257 -1645/1331 -67589/6806 -11069/4875 9820/2533 743/152 11514/6373 -702/145 11476/3215 22791/4567 -55908/6239 -21957/6151 -213/322 28540/8377 23327/5294 -3599/690 22946/8147 -16185/3182 >
92595/9764 10759/4036 417/55 -8589/4864 7411/986 -2058/983 -11189/4909 2968/615 -14881/3748 11425/4456 20498/4089 -22276/4587 -34511/3792 3476/623 233/371 -15617/1754 -9069/1871 54/3391 61/12 311/1340 23763/2710 5064/1109 -9213/3986 -1469/4556 22231/9176 -2307/5177 15109/3676 2432/555 -792/149 18265/2689 =
1846/869 10645/8103 -34923/3697 16180/4233 5125/1033 21843/3929 -3651/6095 -39155/6639 -1237/2625 75160/8381 -36119/5948 -144/29 -5213/2558 14997/9407 -10288/2995 1006/131 -7693/9008 13213/9275 -8901/4427 -1891/258 26903/7940 -6308/2673 1373/1122 -27907/9637 -10047/1073 28004/3657 6054/661 49721/5326 -4625/1188 18913/2939 <
11299/1198 2911/2692 1520/659 1216/153 -1369/336 -12229/5778 -55055/8912 25549/6840 20708/4245 -6117/2690 4273/476 610/9761 -51328/6645 -3288/689 10053/6005 -14179/8284 32301/9800 -22541/9798 520/2391 35896/8649 -10885/1349 9154/1157 -19069/3870 591/61 1502/333 57021/6269 26213/4150 -14246/3093 6439/1259 -1986/1283 =
523/68 36420/3713 -31521/5015 13633/4194 -13059/1724 -4577/1054 33945/8501 1874/313 20952/4715 -1975/4937 -20730/2957 5939/2406 -4807/8612 20746/3545 3635/386 2831/446 89/252 -25553/3314 -9572/8787 14252/3091 578/89 62893/8996 19459/6275 -46871/6052 -1175/176 -11107/6104 -11291/5363 -8507/7112 -19673/6754 -9976/1871 >
43883/5608 -16349/9647 17729/1995 -491/192 6833/989 -42019/5324 -7373/1983 35275/6911 9556/1779 27862/8013 1641/167 -7126/6033 -925/411 -2927/410 -31577/9326 -5514/1519 -13452/2155 5197/772 760/2257 14713/2606 25/7 9935/1242 28798/3649 -46019/4848 -14297/2621 -1807/1403 23179/7853 -4008/1129 -28603/3122 205/149 >
-2989/1676 25610/5919 -2/5 -39007/6996 -4953/1058 -56348/6581 -33/37 31384/6221 -69169/7154 12038/6839 16362/2587 42250/5071 4645/1428 24893/6317 15788/6255 -7079/1743 -83468/8467 19771/2048 -22519/6956 -2932/381 3015/667 245/47 16270/4413 705/139 -44/5 1608/647 3355/2327 -24671/2927 -32947/4313 -5843/741 =
2596/1511 -68139/9376 7899/1046 1090/491 -18221/3155 -1126/213 -17003/4313 59211/6548 6332/6999 9103/3205 -24407/2918 -1131/2000 16796/3147 -68023/7465 11824/4537 -4042/8461 -10940/4773 -18531/4358 3546/893 -17572/3777 293/121 26239/7108 -20380/2349 -46015/6273 353/175 -14460/2669 -728/1107 -36968/4109 1709/282 -1048/127 <
42179/7644 65747/7616 3151/761 -3026/4843 185/98 -13433/4213 8656/1997 -54471/5867 -56393/6538 -55520/6177 -8653/9609 22517/8101 -11981/6048 -64594/7651 -2666/6323 -2198/481 19361/2345 6283/774 -9490/951 1640/209 11254/2633 -4469/7344 35751/6518 1842/319 31686/6713 11493/1495 -78043/8028 51671/7382 -81669/8989 27907/9354 =
-213/359 3/61 -15720/4693 5333/1982 -93/11 -1609/1015 -7550/4037 2786/395 -77470/9587 25883/8078 -5809/1054 -571/153 40379/9705 -12703/4812 -13272/1793 -42929/4956 45401/5844 9958/4993 1201/1833 964/1101 -40353/8989 -30575/4934 181/568 4130/3057 -41548/6943 56043/9943 393/2188 -15723/1600 4237/962 -14597/1930 =
76883/7806 -1464/1043 -9089/2341 -7212/931 735/262 -10372/2529 69200/7303 7222/1317 -79033/9681 -79415/8769 11765/3104 -22803/4162 -24379/4912 24157/4185 -16834/2269 -12521/8886 -6257/5209 40099/6124 52934/5703 22221/4093 3806/673 -1963/270 16394/2913 -5057/1008 -2028/1063 -31309/3968 13742/1589 13389/1871 33235/6124 27251/3963 =
-1683/184 15823/3091 -69343/7382 -592/9547 439/2595 -72927/9043 -10183/3641 3579/581 -64207/8094 20850/2537 -22763/5775 -60229/9468 12969/6794 -14461/4878 10835/1943 -12867/2810 -3563/2981 21005/9913 -8067/3275 13805/4434 12200/1727 -2401/4436 2681/289 -24301/3631 9121/5713 45175/5924 20482/5931 -62972/8363 -68009/7719 5393/1476 <
