30
20
-237/61 -836/463 29315/3832 -225/776 21065/2199 80511/8380 -2811/6067 7548/1169 50341/8860 -35913/8938 -64919/8006 2231/566 -17801/3811 -11315/2861 -17552/2591 -336/41 -62443/6309 -211/98 -2906/575 569/4223 21426/2897 -3349/1755 -685/101 -16337/5436 -68846/7797 -11107/1147 -815/1027 -11920/3217 5003/962 -52368/5633
-47224/5231 5089/561 -36855/7589 1747/255 -1737/296 -16581/4912 4225/2994 -89072/9809 6015/721 47893/7954 65631/7763 25808/4561 -46131/6707 -12659/4725 20283/2875 -30056/7807 50458/9949 -12941/1500 -41729/4742 28297/5910
-1785/3251 7801/7547 1718/313 13610/1761 -8230/3981 47423/5739 1891/528 -54620/5763 5836/1577 -5385/4961 1181/1540 -12375/6572 -29/358 17087/4143 15249/1562 1967/4866 -6515/2084 17725/2059 -12260/5267 -1708/2089 -19152/2593 17956/5947 -8551/3218 58117/6689 -17853/4511 -1153/331 5424/547 635/574 3629/389 -11425/1279 >
-14314/4587 6131/7973 6047/1637 10911/1709 -18740/8911 -51902/5241 795/239 12269/3211 8299/3355 -1102/3331 -254/239 -52/35 56349/9238 40443/7666 -166/199 18147/6431 -25/16 -37818/4333 -17/2 5931/625 1280/213 32582/7693 -34801/4450 527/658 25125/5041 -5419/1216 -3303/412 -494/1687 19967/2500 731/451 =
8443/1575 -4499/3926 -110/49 -19641/9985 -974/6729 14237/2238 -37012/6091 2 1006/2085 3527/660 23417/8671 -15694/2363 -17/4638 -9774/1043 44331/8408 -6637/1495 -30192/3307 33197/7736 10876/1901 58200/7259 23/4 33723/4735 -12889/1621 707/6085 -1060/1517 47750/7237 15027/9668 -1493/429 -16101/2155 23545/3926 <
-6374/9043 8571/1814 -12419/1822 -23239/8739 -13333/2659 -26000/3113 2199/526 22004/3183 -23069/2876 -258/35 -54516/6203 10241/2026 7993/6585 32318/3287 9923/1295 -7400/8567 -34125/6047 -4511/692 -506/137 24994/2875 10997/3303 -20860/4283 257/1391 13488/7703 4411/1050 -398/759 -11366/1859 7678/1819 12301/3536 -39883/4789 =
-3086/513 -22429/2579 -3003/3074 4319/632 4447/4105 -13927/5545 14831/2640 5443/2904 -771/530 11004/1483 22061/2383 54971/5728 -5558/4751 1661/390 -8689/1922 -24548/4721 32869/5933 32889/4270 10909/2109 -1029/142 -60088/9469 10055/1291 2065/4749 -40154/7057 -106/55 -42823/7173 -2193/4466 -5972/5979 1136/305 2793/4745 =
-27861/6757 6471/671 -10559/9320 -38797/8477 167/685 -19355/3134 -8837/1271 -4975/1867 32003/3378 -44113/6658 4973/859 2019/1969 43880/8911 -31434/6805 17782/2713 9515/1157 -8363/3847 10532/8285 -11419/3276 -3695/382 -3679/932 -4999/3952 304/751 19217/4011 -4029/1943 -863/115 23305/2666 -155/1006 -26395/6601 1607/291 =
22795/5263 -81257/9527 -239/35 383/43 -15549/7381 -4469/1114 -9407/3006 -24697/4003 7631/7186 -3253/440 36477/9643 47819/9243 17512/4335 28938/3053 -15273/6592 -11274/1259 -4849/852 8370/3853 10217/1085 1957/4400 -8244/1643 2336/399 -2501/362 22967/4257 37421/8181 -777/122 22027/2927 10405/4197 900/1547 263/1614 >
-3473/1899 20191/2176 -29191/3405 757/256 -39315/4492 -19067/2569 -52843/8665 -44668/5451 -3691/1981 4297/486 10216/3295 1304/1695 -25720/9369 12939/2782 -69817/7060 -9886/4261 955/882 -3491/2182 18873/7970 25793/4970 -31963/6550 1197/457 24953/5327 3041/1840 23329/3159 -464/6381 2305/877 -927/2180 -24421/3573 -218/1149 =
13496/1811 -22279/5242 -10349/1231 -64864/8917 -6393/8435 1762/1293 -10813/1244 -10023/4645 -5338/587 -711/100 -28297/4198 33776/7075 1273/4243 -1696/1321 -1794/307 74/33 -29878/3413 20521/2234 -17782/6231 -2763/439 -13073/2919 283/347 -2713/534 -579/142 1985/767 -60220/7549 -46629/6518 17251/8705 37148/6533 -41119/4561 <
427/152 24723/3938 7523/921 36700/4303 7771/1473 -36882/6629 -8523/1354 23489/2779 -821/263 24096/4423 -11533/3267 9257/3868 -8059/7510 11080/1517 9705/5707 -16789/3202 22342/2789 -60589/8845 -16391/2657 42220/4513 -602/243 -59535/8971 5695/3059 -1616/1905 -50077/9115 18863/2414 354/211 6825/4273 42304/4889 -56788/6443 =
-5596/5587 -45314/8369 437/4618 -13774/4117 14269/2219 4138/451 60819/6364 -15645/4573 -3457/2237 -13337/8679 -405/43 44211/4865 261/4660 -15247/7234 4822/589 1809/205 10165/2559 8136/1517 -2431/251 2093/339 -63788/9983 877/89 46427/5163 -365/1313 20647/7614 44466/5587 31037/4004 -20993/4551 -28602/4447 -1579/235 >
-7143/6707 1176/221 28157/2970 40934/4191 963/338 -8828/1027 -10552/2477 9541/8072 -37339/9507 -6107/636 -25721/2629 35245/6556 -30783/5329 -97/117 16307/4081 4659/6964 -25187/8204 -9799/8422 -22749/3863 -5567/2334 -647/293 -7470/6781 1353/508 29861/7598 -2959/1059 28393/3589 -16396/2643 -6655/921 33999/4631 -31012/4203 <
2484/589 62638/7495 26847/3466 9467/9067 16450/5203 -4159/6826 7750/3547 3208/2195 -7795/1594 -969/2293 -39087/6856 -27749/3699 47369/4784 684/2569 -1239/4406 30287/4708 639/188 -4012/3403 40927/6213 -64135/6717 505/169 -16921/5065 -839/342 8260/2129 1777/441 -52655/5849 -88147/9636 401/766 -16206/2179 587/119 <
6397/2522 -836/5739 -1783/716 484/183 935/7873 -67676/9825 -2608/4831 -2039/223 -33871/3439 15067/1876 783/5315 -9558/1777 -7253/2360 -46487/7544 3053/1848 589/6212 -1781/227 -599/259 11238/2333 -8101/2151 43678/5467 3029/474 -328/271 -13985/2329 -22230/2939 -10667/1303 -15280/2401 -57371/7367 -13158/6209 59248/6621 >
-27809/4231 -15376/9995 30147/6464 -9653/2104 -6617/1731 -25171/7907 16787/2105 765/592 -31393/6288 -4653/6491 4993/914 -35609/4758 -33589/4951 12368/1375 4531/607 2273/3295 -1415/261 693/230 -287/194 -12553/4957 9236/4819 14598/3979 40268/5653 381/674 30337/3365 -3479/4225 39665/5996 48919/5081 -7591/3279 -9459/2203 =
-12907/2482 -3631/508 1389/1528 8063/1545 -54317/8471 -267/5722 2245/329 -622/105 3784/907 1351/183 -13102/2229 25847/3863 4529/5779 -18578/4649 -6308/637 2058/577 17899/8824 -5283/2093 -23785/4037 -33777/6421 -8114/1835 -810/409 8767/2097 2357/323 -4774/3543 -28552/4347 2207/300 -9625/4997 -15999/3901 -34698/3947 >
7421/6026 30542/4267 -36058/4511 -27001/7357 -343/2036 25999/3509 12169/1793 8755/4531 -104/133 12773/2534 -31168/4025 43375/8528 12121/1290 4447/6430 79629/8975 -4177/1315 10828/1095 -125/22 -16471/2124 -5745/7534 12295/2301 58464/9007 -743/1072 10987/6825 65968/6743 -36721/5781 591/377 4033/2038 7718/4417 -2998/1401 <
6077/1667 1873/767 742/143 5377/3430 -37005/6268 -2085/368 -1769/263 -17987/6125 3783/430 18837/2566 14837/2742 -2115/494 -13619/2551 -29589/9722 -6961/4719 -3651/682 59366/7525 561/71 28277/7866 -26923/7744 45146/9895 -9807/1249 7979/1542 7061/964 70725/8237 -61401/9263 3463/9267 -19499/5804 19857/2053 -28783/8028 >
-15746/4113 -11/3 43402/4819 14215/1952 -8542/2813 57627/9523 -7109/949 10391/1179 -14880/9599 -71916/9245 2241/2059 5777/1503 -244/745 -16877/5700 23977/8547 19067/3212 -15779/2318 25496/4709 -40273/4061 33815/4764 54502/5949 -15749/9660 -20889/4744 -12393/7516 -11602/9859 23050/6719 -27511/4610 -689/75 -3256/413 17965/3839 >
13881/3488 11637/4819 -277/340 31264/5837 28437/3700 19017/5158 604/447 -1751/197 -12437/4059 1394/239 347/1789 4789/5473 -1455/3539 42745/5043 -43901/4976 -9915/1804 17883/3236 -21082/8577 -12697/2567 26489/3319 -33447/3619 4472/937 80009/9535 -41483/8415 51591/6595 -26593/7551 259/71 274/57 -5953/2351 20278/7129 <
