30
20
-28781/3311 13641/6232 -57089/8795 4416/847 6839/2823 -11254/1167 -9799/5786 -6089/8338 20282/8105 -1761/3343 6506/1983 -5293/8229 -4015/2976 59841/9935 24861/3019 -1543/376 -8291/5463 -12161/3822 -3530/609 3366/859 -31149/3620 -33/37 9653/1331 26232/3577 34946/8961 12025/7516 -454/169 8831/1147 3151/561 37382/4933
-14087/1997 -28418/5457 -28827/7100 24005/3047 -12381/1508 -254/337 -47/753 22870/6237 -16472/4057 125/3541 -36409/4331 10487/4053 7118/4911 -1391/398 -11066/2471 -47333/7162 -3204/4153 16225/2133 2834/531 17951/4728
37600/6023 717/1252 32602/3703 21901/5740 -5237/558 2049/436 3969/484 -32522/8891 -57242/8929 10633/3345 -92852/9595 -1238/2357 -66354/8227 8503/6033 -54867/9076 -37513/4612 2783/1136 -95351/9572 14747/3203 -6013/744 167/123 2201/365 18859/2345 -1273/224 66805/7606 -371/174 23941/4922 19594/3383 -92399/9602 -19417/2522 =
40051/5827 -18283/3776 13253/2783 -369/971 -15685/2206 -61514/8697 38495/7817 2371/8043 -25554/2707 293/4524 -28365/5822 2728/5705 1010/657 4883/1051 -2851/3108 -46277/5847 -4652/5593 -2836/9069 -5013/6049 -15424/1663 421/263 -139/46 32404/5281 14389/2296 41539/5623 -6697/6205 34018/5089 -7463/6356 -28931/8343 4313/1943 <
-24809/7513 -50311/8257 -18167/2658 11909/2384 266/157 -2204/681 -23542/2967 60997/7171 -691/293 1118/141 -56034/7027 5553/1378 33655/5624 16913/6041 3453/761 16895/2496 -2553/334 7630/879 -4006/4283 -90026/9705 -6261/8549 61/7 -23659/5530 -6196/4513 -86343/8989 2287/692 -547/74 8798/1151 -1621/846 23452/2987 =
7813/1348 50418/7315 -12814/4407 21496/2893 14071/2903 22235/3001 -564/133 5858/879 -36949/7951 51673/5841 -23041/6519 -2143/4619 42916/5857 -1819/2976 2380/317 10705/3089 -7073/5638 -53629/6206 201/29 59516/6245 35391/4231 961/120 -13882/1461 5595/3926 -739/74 -3731/743 22605/5008 -9612/4909 5/211 15894/4169 <
-61526/9609 8439/6188 -45853/7790 -644/969 19173/9008 1759/177 -35222/9157 11561/1167 24683/5152 42655/4569 13487/2352 -54421/5728 5472/767 17897/4090 64814/9345 6963/9371 -32224/4903 261/34 -11767/2981 -5511/1003 -13751/1629 61968/9545 487/3416 -61253/6649 13411/2103 34469/4043 -862/2645 -15913/9700 10098/7175 2605/2641 >
-44784/5303 -12005/1313 -1551/257 -2427/410 -6529/1058 13463/1400 5105/6399 1979/4822 -32707/9500 -51807/7822 -25527/2723 -38682/8497 7583/8955 2908/565 -14018/1639 -35723/3894 -40271/8023 -24397/2969 208/111 -326/3659 -37082/5731 -64035/6571 2229/2108 -12653/2417 21859/2519 -537/56 3078/385 8996/3033 -1504/505 -16759/7649 =
-1/9 -6311/755 1724/373 9145/1089 -11023/2221 -25794/2639 1898/719 1009/218 -160/1419 -39159/7370 -6022/1251 7156/1077 -174/5477 6841/813 8248/6471 11/214 1884/3313 367/2481 -1641/196 -24145/3046 -49376/9095 -6043/2808 -21545/8932 14729/1543 -29/4262 -10501/2535 5099/566 640/231 2734/419 -17385/5713 =
31414/5789 31875/8113 -39239/5196 8854/1353 -15256/2741 -9739/1773 -48733/5507 -20606/7437 -55184/8929 4745/618 31147/6472 -8061/4805 -85823/9985 -26638/4345 27536/4873 -69545/9596 -5247/2351 43242/9373 -22768/8409 -308/197 -18598/5439 -5888/1287 727/464 -2196/2641 11882/1297 -14531/1945 -1198/149 32548/6201 -8393/2056 -26054/9521 =
-41033/5259 -28223/3898 14314/7415 -992/501 10503/2303 58730/6757 -3735/8941 21112/2995 8521/1129 53101/5531 919/157 -46825/8579 -1101/706 -1067/812 8111/1675 21760/2849 16417/6349 24612/3361 -18887/4332 21171/4576 -25559/9099 16746/4007 5344/3603 25126/2555 -16381/7761 -37277/7416 -53640/5921 25558/7097 7466/2309 -4025/1837 <
-629/76 5243/649 -3381/373 -1291/226 34651/5054 -34711/4580 1203/203 -90146/9581 -4384/4419 637/605 22502/8621 -14103/2275 4217/866 35637/6007 11712/1957 10089/1991 53879/6445 55547/7087 -15605/2602 -20892/4901 35833/5399 8199/4484 -1037/287 -34637/9581 -5390/3583 31329/4922 40423/4178 -11336/1517 2333/1475 -64234/7977 >
-2488/301 -8753/1667 -8359/1493 -31850/7771 -13353/2615 1221/334 10924/5049 2543/474 16041/3487 -12427/3688 -19945/5714 40689/5425 -7513/1436 -76821/8108 16884/2279 22589/5555 45155/5826 6678/863 -8494/1577 -33165/9811 -49799/7387 7768/1361 13843/3842 -2767/5186 -19195/4261 74740/9559 233/5194 11213/4868 1502/1389 -4733/1981 =
15434/1545 -26256/2635 19358/7877 -5017/1163 24918/9241 -5543/1245 4061/6167 5711/1003 -2535/332 14589/3088 103/12 -45821/4999 -35207/4644 -941/148 -10043/1510 8330/1133 -57503/7346 569/463 3631/9091 -42061/6348 -12275/5101 -473/81 -45365/7251 -605/1119 -55073/7213 19913/5939 1387/1496 -8180/1101 1285/3249 -3215/453 <
-37091/4818 -1513/1005 -230/3303 -26567/4149 42312/6581 -4493/1356 17405/2329 5290/2727 -1592/503 5/297 7139/1041 19289/3906 -237/32 -57669/9998 58852/5989 -5194/533 -2407/370 7431/919 3257/353 -16793/7552 52128/9349 43713/6020 50843/5762 160/63 -59536/6677 -3872/417 -14975/3166 -17856/4159 36779/6737 -7860/1531 =
-1028/163 12089/1334 674/123 63133/7939 -15001/2333 -2437/266 -19663/6099 -32717/3831 7947/4390 -18851/2873 -5989/4392 55483/5897 -1169/202 87314/9505 3979/1094 -677/944 24494/7211 6399/3287 -130/353 33745/8684 -4595/1176 5870/2141 -4337/8863 -844/167 7506/757 -7999/860 -2066/973 -22465/2433 21565/8663 -19645/5558 <
-40484/6155 19408/3281 17351/2287 -1337/135 -12010/1807 38240/6047 2837/1112 -21131/7509 4449/455 -19855/4186 -22765/7349 -36979/5324 -72387/7363 -36491/6852 -47485/6896 25045/5403 67549/8571 -4789/537 -49680/9517 -4361/1752 -64153/7246 -58647/8033 29646/3791 41441/7780 -67377/6854 -480/191 -28703/3486 -28203/3338 -35521/8750 15209/2966 <
272/91 139/1527 32703/6317 -4127/6241 2313/770 -578/155 -9457/3602 -31/160 -425/432 12015/1219 22111/5725 32911/4320 5497/763 -60385/7438 39252/4373 -16492/2823 -2421/247 -26453/3356 13814/4967 -9721/4952 17142/1859 -14827/1765 4377/455 -11819/2465 10039/7915 -131/79 -4010/2189 -3491/1541 -12744/2225 -31363/7216 <
-2593/584 12629/4594 35183/5952 2305/284 39521/6641 25789/6372 -8461/1428 -13651/6564 5253/8131 -76799/8811 5479/638 27488/8103 -27199/6584 -11942/5611 -1357/169 3718/795 5867/1009 -53/495 8533/1184 -38563/7031 587/654 -11249/2463 -174/241 1095/701 -34288/3619 -2025/1249 -13073/3059 3451/1007 -3749/443 -3755/607 <
55123/6821 645/109 -13442/1921 1555/3998 -1211/313 -38713/5216 2243/266 -19409/3150 16593/3011 -22147/3577 -2533/368 8345/3093 167/35 -18403/2993 5849/8102 605/234 -5926/695 -305/56 -62733/9523 65754/9395 13316/1879 -8127/1072 3236/331 9487/2125 -5309/848 26660/2851 -32421/4882 -36431/4727 -8877/1000 -56359/6723 >
5354/1201 24669/7906 -2529/386 11581/6157 7600/1927 -1955/344 -2281/3495 -4793/2161 -407/267 9319/2624 -1599/1259 4719/784 -79259/8472 2247/1280 27317/9664 -1679/1876 -47956/5563 169/992 16909/9414 -5469/1735 -5423/6455 38234/4259 2979/425 -20387/2096 -32167/4416 5987/703 39134/6439 45073/5455 -15505/1853 17529/3637 >
-24461/3682 915/3389 40933/5563 20459/2698 -73961/8867 2327/414 -37814/4295 -7929/6706 755/1036 -7855/2574 701/940 -2457/809 28507/6783 -3131/317 39238/4589 16169/1889 -13288/3299 3547/966 2561/1882 -17/7 25826/3105 25807/3656 18632/2775 3186/1609 2647/419 5919/710 -2767/5423 4149/8537 3433/3310 28129/9002 >
