50
30
-74798/29555 -177029/32158 -106763/13892 -220177/83130 17980/14677 3257/16738 -160151/16803 -17867/2928 -212137/33492 -163365/24889 -361697/74623 -28697/25561 580115/63954 50037/10895 4987/1162 -293532/52201 -5187/4831 13199/11510 -9748/7057 -29663/3542 -176393/50921 -19953/2816 -154289/23414 -790631/97046 -15436/38421 -275725/48731 -630367/73604 -298963/68756 140033/31728 7826/14221 -348553/37549 578720/76203 408812/41275 -80327/25550 310307/32056 -41400/5213 -330877/96463 -445334/65315 -1142/25717 454203/72040 141687/78161 143401/25350 9191/31344 -25177/12305 172231/25377 -69872/34735 262569/50257 716977/90654 21508/4343 604783/83892
7375/1911 -53491/23145 342793/40043 -6365/5158 230486/43425 67881/49268 -79955/13757 -19779/35824 749131/75088 492731/76273 -5131/16889 11502/37223 1409/32912 -100401/33596 5365/1004 7533/45835 -72045/46477 -4481/3881 -26941/46190 94697/13871 -25103/14332 -4111/1337 -215059/44918 -225592/32627 -291989/33614 54804/13115 -460707/97639 252611/28158 73942/24557 226851/99305
-185811/24722 -62840/17061 536662/69331 12632/4421 -38429/4481 -338343/85990 48902/9711 4870/3511 8299/1715 -7743/1339 -150281/62490 -282587/59484 115333/37378 679189/67967 -272738/51053 57083/6913 -63697/23967 -99653/33717 -674571/72860 -100646/42443 -29502/5171 3602/17449 6916/99381 -520651/91679 780995/94584 5532/30613 170006/22735 -55897/45777 -44693/49145 -1496/1429 18889/2546 -27717/42715 -96705/15059 -245965/36129 11113/2175 178738/36185 -237911/95909 -359076/57067 -44761/19740 16147/5165 165785/32263 -179932/48777 -1777/297 3475/18053 15260/4747 36707/3744 -384734/44361 323304/47737 27571/3860 461647/67472 <
501575/93462 -204212/51331 2285/46302 825736/86575 -10208/39553 -3074/2839 -25008/4633 150065/21462 -960599/96599 385132/81761 73019/9600 37391/22631 -578643/97594 106567/11688 -18819/17281 -114612/12607 -126309/28261 -353391/49303 24163/24014 1204/12161 235296/43897 62500/24237 177775/68208 -120665/18314 -7208/6379 296576/47469 -86894/15345 168165/19979 60053/16595 668293/70935 96484/11619 -145489/52586 -41/56 -1918/25925 -452449/46185 -404395/41434 -37487/40696 -13933/17263 502675/62368 -77832/19327 326465/33712 -28802/24913 -496985/94749 151/80 -18335/36376 320105/57116 20428/12779 175208/32079 399615/42587 -898481/93257 >
-123843/27905 127041/13099 -3437/18570 -77457/12038 251/158 -130060/85399 69191/39954 235397/79444 -883430/99453 1441/3122 -1397/1140 -4800/13967 2383/2780 -557728/80461 19663/14801 57600/7159 162721/79160 114772/26263 -54420/13133 23913/15173 589337/91860 -229673/71043 45462/11341 -420979/45282 -23827/7462 -10312/14005 57274/6611 437870/48069 -83/55 35232/3883 36652/31753 68935/11089 -697609/78236 33443/12492 -201569/53848 -87553/31848 143472/44215 -315090/82013 81667/14622 4 160743/18085 26902/4079 -1649/248 -113469/36121 -31383/29078 282218/50235 -21599/12192 167873/19818 146572/16541 -29651/3847 =
-28020/4151 23852/18309 -57797/9926 -30308/4527 -113273/15868 352376/80399 -20/11 28113/3697 759631/84491 -119817/12985 8170/11421 87217/87956 297813/60607 -170108/56913 -201889/57136 291442/78069 38499/4367 6260/6353 -169414/49739 -157613/21876 378473/96283 -377391/42992 138/14177 11537/1674 11380/1733 -150354/29051 59621/59935 606908/99633 181079/28924 -540743/70627 -120923/34553 685356/75823 79157/15489 -14318/16659 60374/7157 -275801/35574 -237412/34995 -10255/2356 305549/33767 784874/85095 -59187/33694 -37187/4240 -177211/79338 -92291/20036 -8076/1891 153122/37627 103283/10773 -12729/28624 34836/6833 150265/60662 >
-141969/50461 621680/63127 690030/84533 756555/88361 449448/92845 6132/2129 -359549/43004 -51279/6338 -575062/60497 659056/89293 98749/22962 -36962/25109 28577/12195 172501/34310 37754/95949 -375642/80897 -400167/59560 117825/21001 -72339/21974 -68879/13251 -207193/26139 -590639/66333 -114978/86753 -60048/45125 -342438/55237 -200828/29757 -546153/64259 -38987/6568 92719/67647 -174913/23816 -582965/69073 -2000/369 515481/57326 -160000/20869 6603/6721 440269/74758 74507/8822 364451/79805 10020/1229 -317693/82320 799371/93871 -80073/21400 -81449/22822 -115564/17921 68389/19698 -217854/27329 -145002/24829 16059/1915 139610/51883 57828/81043 <
-3601/365 763/264 546121/54742 4161/68915 -543658/97889 -2994/1423 -434478/93853 18733/6778 -821202/83231 221138/90009 -8299/1211 -94877/11097 -149439/17267 113861/28483 20950/10839 17417/20138 6035/2968 65788/9475 93901/41710 703763/83065 79370/44471 271982/82097 9881/3752 494898/95135 1763/296 93919/31225 -104347/38627 42673/29797 84674/16313 -380439/81205 -121507/95823 -1408/185 6052/10363 104210/40981 143375/42753 -4017/880 -3398/4897 -5237/5697 56227/6444 19311/11677 479775/66128 -647198/91647 1803/1880 -77950/11073 -156405/16447 407619/57074 -1242/3931 -87721/28850 339297/64646 401103/50005 <
440953/50644 396365/57992 -79217/11866 -163432/68917 -91713/72035 42306/7045 -88806/15935 -547643/93046 108431/16232 501217/73888 -20022/9761 2541/1093 -106471/15443 -280156/30617 150587/47245 -44012/6925 35586/23209 182397/37667 235633/24146 211340/67953 61988/11495 34828/3921 -40168/42103 -97264/25681 200825/22279 -93130/21453 31361/5943 -15131/6912 -378855/60053 135871/46256 171936/97579 -749/207 -217122/85693 -45723/4774 583649/60371 -128357/30183 106625/14157 -574504/59565 164639/24737 -844735/95268 -182831/34321 74528/10003 8443/1071 826953/91021 111563/12572 8515/1702 264850/40709 -202522/22631 -683/485 33375/4288 <
104728/13077 -152904/93619 38420/10717 -810127/99513 4321/5991 -131852/27711 89889/66577 -72215/8451 79685/10533 2493/617 -2648/941 -347925/54284 -195227/28262 -6121/11092 -209998/36753 -216703/76473 459461/77140 119527/34394 -69542/7503 113569/36651 7585/8457 114011/45472 -8913/1723 -2842/22571 -39191/8882 -92115/9652 -5344/6613 -13582/3065 -6676/2307 -241770/39449 -1330/2749 11841/3578 -654733/79304 -2133/1717 -263536/62877 -62708/22737 -85238/21771 44883/6508 -291448/31269 146583/45193 -10795/4847 218863/63518 -54449/7848 89989/15551 2312/379 798107/82749 -447394/72807 56536/17903 445/5953 5135/3034 <
2626/14169 -195825/71891 606121/65924 456059/48400 -728433/89174 366509/42626 164544/44123 -933/2480 301729/79540 652231/85150 82228/9631 -14915/5811 -109595/31128 393566/70519 -1549/2360 -120367/25912 88622/41117 452483/51013 -2393/402 20831/6842 -9305/6736 202638/61655 84292/16713 43829/38482 51095/38556 126739/40586 418321/88995 29327/15288 -4746/1985 114805/35722 24825/18638 -199129/24044 1081/739 -321152/33271 9707/39141 128124/87245 -2231/313 -10088/9669 -108664/15367 -88527/13684 39989/53413 5622/8299 -56031/8260 -224529/82324 293965/33657 -155303/32020 62195/9608 8861/34183 -515622/72113 103630/18777 <
-203137/28693 -290502/95455 -32584/88479 152689/45939 30811/3885 -277893/82988 -42817/66717 -140949/26272 -22239/3772 323203/97689 -20306/5039 -172171/28198 215201/32164 -487011/77872 -164590/59153 -681087/74218 -5523/1825 324531/81751 -148477/20946 143798/72281 519368/86789 -224585/46907 -28065/5563 3749/2342 -123013/39462 -42587/11045 -97757/43337 -254445/31379 8942/2917 -254601/48713 31151/3305 -235058/25611 -319681/91745 248235/48671 189273/30124 -112690/24169 115451/20824 10886/18027 3602/1483 -535637/63187 -487711/89685 -3869/1292 756229/93751 2892/1559 -99015/40828 -31167/3989 -15756/21493 11195/6092 -236539/53293 -120393/47302 =
